"athlete_id","position_group","n_pair","r","ci_lo","ci_hi","pair","context"
"P17","Forward",63,0.407278777907573,0.1774167721574,0.595002447134838,"TRIMP vs sRPE-TL","overall"
"P18","Forward",71,-0.0899253452178149,-0.316587107473356,0.146450917209399,"TRIMP vs sRPE-TL","overall"
"P19","Forward",73,-0.253317122416443,-0.456764191305852,-0.0246887024186517,"TRIMP vs sRPE-TL","overall"
"P01","Forward",71,-0.207741736389848,-0.420657496065416,0.0268640137639655,"HR80 mins vs sRPE-TL","overall"
"P02","Forward",57,-0.104740424145984,-0.355602975846968,0.160199388582233,"HR80 mins vs sRPE-TL","overall"
"P03","Defenseman",73,-0.179992194751097,-0.393753995209374,0.0522382861859448,"HR80 mins vs sRPE-TL","overall"
"P04","Defenseman",51,0.233753072445043,-0.0447108028274472,0.478511721899526,"HR80 mins vs sRPE-TL","overall"
"P05","Defenseman",61,0.641125163046761,0.464258278957778,0.768820843686863,"HR80 mins vs sRPE-TL","overall"
"P06","Forward",64,-0.131385799844417,-0.365394361118056,0.118242215363265,"HR80 mins vs sRPE-TL","overall"
"P07","Defenseman",69,0.183490191950236,-0.0556053643041693,0.402682935388508,"HR80 mins vs sRPE-TL","overall"
"P08","Defenseman",70,-0.120864204629737,-0.34601151712141,0.117445256235591,"HR80 mins vs sRPE-TL","overall"
"P09","Defenseman",62,-0.278412948633879,-0.493840148516545,-0.0307855318507693,"HR80 mins vs sRPE-TL","overall"
"P10","Forward",59,-0.134698918456622,-0.377751047721084,0.125719941953493,"HR80 mins vs sRPE-TL","overall"
"P11","Forward",64,-0.117231775304699,-0.352872452768196,0.132392620078157,"HR80 mins vs sRPE-TL","overall"
"P12","Forward",68,-0.0293395404946929,-0.26590455381595,0.210558466304143,"HR80 mins vs sRPE-TL","overall"
"P13","Forward",74,0.311365825387371,0.089214394992337,0.504006188950286,"HR80 mins vs sRPE-TL","overall"
"P14","Defenseman",45,0.460693344018865,0.193299099123217,0.664383288768219,"HR80 mins vs sRPE-TL","overall"
"P15","Forward",68,-0.0444182144199584,-0.279879267146892,0.196083482207346,"HR80 mins vs sRPE-TL","overall"
"P16","Defenseman",70,0.0482139896200139,-0.1889000877611,0.28001570356956,"HR80 mins vs sRPE-TL","overall"
"P17","Forward",63,0.533449443145844,0.329194023503255,0.69001509844826,"HR80 mins vs sRPE-TL","overall"
